id,app_url,title,price,hint
3620,https://apps.shopify.com/zakeke-interactive-product-designer,Product Designer,$5.99/month,
3621,https://apps.shopify.com/zakeke-interactive-product-designer,Configurator,$450/month,"1,5% on sales."
3622,https://apps.shopify.com/provesource,Free Forever Plan,Free,
3623,https://apps.shopify.com/provesource,Starter Plan,$19/month,
3624,https://apps.shopify.com/provesource,Growth Plan,$49/month,
3625,https://apps.shopify.com/provesource,Monster Plan,$99/month,
3626,https://apps.shopify.com/swym-relay,Free,Free,
3627,https://apps.shopify.com/swym-relay,Starter,$9.99/month,
3628,https://apps.shopify.com/swym-relay,Pro,$29.99/month,
3629,https://apps.shopify.com/swym-relay,Premium,$59.99/month,
3630,https://apps.shopify.com/orderlogic,,$4.99/month,
3631,https://apps.shopify.com/cart-notifications,,Free to install,"PRO - $2.49 (adjusting colors, animation and position ). PREMIUM - $9.99 (adjust EVERYTHING)"
3632,https://apps.shopify.com/remember-my-cart,,Free,
3633,https://apps.shopify.com/email-pirate,,$4.99/month,
3634,https://apps.shopify.com/simple-google-shopping-feed,Default plan,$7/month,
3635,https://apps.shopify.com/ask-a-question,,$15/month,
3636,https://apps.shopify.com/order-invoice-gst,,$9.90/month,
3637,https://apps.shopify.com/product-registration-1,,$15/month,
3638,https://apps.shopify.com/treasure-hunt-1,Boatswain plan,$4.99/month,
3639,https://apps.shopify.com/storesync,Silver Plan,$9/month,
3640,https://apps.shopify.com/storesync,Gold Plan,$19.99/month,
3641,https://apps.shopify.com/storesync,29.99,$29.99/month,
3642,https://apps.shopify.com/editorify,Free Plan,Free,
3643,https://apps.shopify.com/editorify,Premium Plan,$9.95/month,
3644,https://apps.shopify.com/snowify,,$4.99 one time charge,
3645,https://apps.shopify.com/gdpr-terms-reduce-returns-refunds,,Free,
3646,https://apps.shopify.com/helpcenter,,Free,
3647,https://apps.shopify.com/europe-cookie-notice,,$4/month,
3648,https://apps.shopify.com/facebook-store,,Free,
3649,https://apps.shopify.com/yottie-shopify-youtube-channel-plugin,,$6.99/month,
3650,https://apps.shopify.com/activity-logs,Basic,$15/month,
3651,https://apps.shopify.com/activity-logs,Business,$49/month,
3652,https://apps.shopify.com/activity-logs,Pro,$99/month,
3653,https://apps.shopify.com/activity-logs,Premium,$199/month,
3654,https://apps.shopify.com/my-mini-cart,,$3.99/month,
3655,https://apps.shopify.com/deepmine,Starter Plan,$10/month,
3656,https://apps.shopify.com/deepmine,Standard Plan,$20/month,
3657,https://apps.shopify.com/deepmine,Professional Plan,$30/month,
3658,https://apps.shopify.com/discount-saved,,$2/month,
3659,https://apps.shopify.com/pillow-profits-fulfillment,,$29.99/month,
3660,https://apps.shopify.com/bing-shopping-product-feed,,$12.99/month,
3661,https://apps.shopify.com/zinestagram,,Free to install,Free to install and play with. Paid plan starts at $14.95/month to fully use the app functionalities.
3662,https://apps.shopify.com/helpdesk,Basic plan,$60/month,$12 per each additional 100 tickets
3663,https://apps.shopify.com/helpdesk,Pro plan,$200/month,$10 per each additional 100 tickets
3664,https://apps.shopify.com/helpdesk,Advanced plan,$500/month,$8.3 per each additional 100 tickets
3665,https://apps.shopify.com/orderify,,$4.99/month,
3666,https://apps.shopify.com/e-productplug-1,Starter Plan,$55/month,
3667,https://apps.shopify.com/e-productplug-1,Premium Plan,$115/month,
3668,https://apps.shopify.com/e-productplug-1,Power Plan,$175/month,
3669,https://apps.shopify.com/predictive-search,,$0.99/month,
3670,https://apps.shopify.com/asym,STARTUP,$10/month,
3671,https://apps.shopify.com/asym,STOREFRONT,$50/month,$1 CPM on unique monthly visitors
3672,https://apps.shopify.com/asym,BIG BRAND,$250/month,$0.50 CPM on unique monthly visitors
3673,https://apps.shopify.com/discounted-upsells,Basic,$19.99/month,
3674,https://apps.shopify.com/discounted-upsells,Professional,$29.99/month,
3675,https://apps.shopify.com/discounted-upsells,Advanced,$44.99/month,
3676,https://apps.shopify.com/discounted-upsells,Trial Plan,Free,
3677,https://apps.shopify.com/accordion-by-widgetic,Free,Free,
3678,https://apps.shopify.com/accordion-by-widgetic,Premium,$1.99/month,
3679,https://apps.shopify.com/pop-up-builder-wisepops,Basic,$49/month,
3680,https://apps.shopify.com/pop-up-builder-wisepops,Pro,$99/month,
3681,https://apps.shopify.com/pop-up-builder-wisepops,Expert,$199/month,
3682,https://apps.shopify.com/swiss-post-label-printer-1,Free,Free,
3683,https://apps.shopify.com/swiss-post-label-printer-1,Starter,$5/month,
3684,https://apps.shopify.com/swiss-post-label-printer-1,Basic,$10/month,
3685,https://apps.shopify.com/swiss-post-label-printer-1,Premium,$15/month,
3686,https://apps.shopify.com/shopify-assistant,,$7.95/month,
3687,https://apps.shopify.com/growth-funnel,Starter,$25/month,
3688,https://apps.shopify.com/growth-funnel,Pro,$49/month,
